Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
4623 Eden Ridge Dr,34.067184,-84.628608,3,2,"1,742","$164,900 ","3 bed, 2 bath townhouse in 4623 Eden Ridge Dr",30.70919634,32.30869662,39.46957879,0.487712149,Cobb
4055 Old Austell Rd,33.855408,-84.671518,3,1.5,"1,176","$129,900 ","3 bed, 1.5 bath townhouse in 4055 Old Austell Rd",26.06524337,29.37740245,33.44864345,0.617096733,Cobb
4829 Madison Point Cir,33.837692,-84.629081,4,2.5,"2,708","$210,000 ","4 bed, 2.5 bath townhouse in 4829 Madison Point Cir",23.98960301,23.16689508,28.43123683,0.744044949,Cobb
2324 McMurry Dr,33.902146,-84.648249,5,2.5,"2,852","$245,000 ","5 bed, 2.5 bath townhouse in 2324 McMurry Dr",25.59401739,26.48684732,32.58576639,0.62815323,Cobb
2004 Mistymorn Cir,33.849723,-84.674827,4,3,"1,760","$137,400 ","4 bed, 3 bath townhouse in 2004 Mistymorn Cir",25.91528256,29.86492838,33.65151065,0.613543921,Cobb
3776 Baccurate Way,34.020205,-84.437378,6,5.5,"5,322","$625,000 ","6 bed, 5.5 bath townhouse in 3776 Baccurate Way",19.51711621,21.26357675,23.68311757,0.74397372,Cobb
2871 Red Haven Ct,33.884369,-84.694382,4,3,"1,816","$154,900 ","4 bed, 3 bath townhouse in 2871 Red Haven Ct",28.78552735,32.3628388,36.70291503,0.554051786,Cobb
784 Bellhaven Chase Ct,33.82501,-84.530172,4,4.5,"4,217","$439,900 ","4 bed, 4.5 bath townhouse in 784 Bellhaven Chase Ct",18.51129635,14.56711691,17.61604102,1.309732227,Cobb
5807 Ripplestone Ct NW,34.010501,-84.717163,5,4.5,"3,750","$459,000 ","5 bed, 4.5 bath townhouse in 5807 Ripplestone Ct NW",34.90136248,38.14955567,43.9875574,0.445823987,Cobb
532 Manning Rd SW,33.944927,-84.580505,3,2.5,"2,185","$298,000 ","3 bed, 2.5 bath townhouse in 532 Manning Rd SW",19.6225063,20.16035859,28.19515555,0.716588695,Cobb
